Title,Date & Time,Summary,Article,Annotated_Summary,Generated_Summary
"Under Congress, have not got expected success situation may improve if Mamata is leader: SP MP Ram Gopal Yadav","February 06, 2025 11:25 am","Things the BJP is not saying about (Arvind) Kejriwal, Rahul Gandhi is. It sends the wrong message that the BJP and Congress speak the same language, says SP chief Akhilesh Yadavs uncle.","Under Congress, have not got expected success situation may improve if Mamata is leader: SP MP Ram Gopal Yadav. Things the BJP is not saying about (Arvind) Kejriwal, Rahul Gandhi is. It sends the wrong message that the BJP and Congress speak the same language, says SP chief Akhilesh Yadavs uncle.","Things the BJP is not saying about (Arvind) Kejriwal, Rahul Gandhi is. It sends the wrong message that the BJP and Congress speak the same language, says SP chief Akhilesh Yadavs uncle.","Things the BJP is not saying about (Arvind) Kejriwal, Rahul Gandhi is. Sends the wrong message that the BJP and Congress speak the same language, says SP chief Akhilesh Yadavs uncle."
"Modi at Kumbh as Delhi votes: Maharashtra to Jharkhand, Haryana to TN, PMs busy polling days","February 05, 2025 11:09 am",Opposition has approached the EC earlier to complain about the PM violating code of conduct with such televised appearances either on voting day or after the end of canvassing,"Modi at Kumbh as Delhi votes: Maharashtra to Jharkhand, Haryana to TN, PMs busy polling days. Opposition has approached the EC earlier to complain about the PM violating code of conduct with such televised appearances either on voting day or after the end of canvassing",Opposition has approached the EC earlier to complain about the PM violating code of conduct with such televised appearances either on voting day or after the end of canvassing,Opposition has approached the EC earlier to complain about the PM violating code of conduct with such televised appearances either on voting day or after the end of canvassing .
"Supreme Court calls Kumbh stampede unfortunate, asks petitioner to approach Allahabad HC","February 04, 2025 4:05 am",The PIL petition in the Supreme Court accused the Uttar Pradesh government of negligence and sought action against responsible officials over the Maha Kumbh stampede.,"Supreme Court calls Kumbh stampede unfortunate, asks petitioner to approach Allahabad HC. The PIL petition in the Supreme Court accused the Uttar Pradesh government of negligence and sought action against responsible officials over the Maha Kumbh stampede.",The PIL petition in the Supreme Court accused the Uttar Pradesh government of negligence and sought action against responsible officials over the Maha Kumbh stampede.,The PIL petition in the Supreme Court accused the Uttar Pradesh government of negligence and sought action against responsible officials over the Maha Kumbh stampede. The PIL petition in the Supreme Court accused the Uttar Pradesh government of negligence and sought action against responsible officials over the Maha Kumbh stampede.
Prakash Raj complains against activist for sharing AI-generated image of him taking dip at Mahakumbh: 'People are creating religious divides',"February 03, 2025 8:17 am","The deleted Facebook post with Prakash Raj's AI-generated image said, ""Hope all his sins are forgiven and removed.""","Prakash Raj complains against activist for sharing AI-generated image of him taking dip at Mahakumbh: 'People are creating religious divides'. The deleted Facebook post with Prakash Raj's AI-generated image said, ""Hope all his sins are forgiven and removed.""","The deleted Facebook post with Prakash Raj's AI-generated image said, ""Hope all his sins are forgiven and removed.""","The deleted Facebook post with Prakash Raj's AI-generated image said, ""Hope all his sins are forgiven and removed."" The deleted post with Prakash Raj's AI-generated image said, ""Hope all his sins are forgiven and removed."""
"Travel vlogger stranded in traffic for 19 hours, misses Mahakumbh Mela despite months of planning","February 01, 2025 4:28 pm",Binsky's post wasn't well received by Indian social media users.,"Travel vlogger stranded in traffic for 19 hours, misses Mahakumbh Mela despite months of planning. Binsky's post wasn't well received by Indian social media users.",Binsky's post wasn't well received by Indian social media users.,"Binsky's post wasn't well received by Indian social media users. The post was stranded in traffic for 19 hours, misses Mahakumbh Mela despite months of planning."
UPSC Essentials | Mains answer practice GS 1 : Questions on significance of the Kumbh Mela in India's independence movement and higher education (Week 88),"February 06, 2025 2:42 pm",Are you preparing for CSE 2025? Here are questions from GS paper 1 for this week with essential points as the fodder for your answers. Do not miss points to ponder and answer in the comment box below.,UPSC Essentials | Mains answer practice GS 1 : Questions on significance of the Kumbh Mela in India's independence movement and higher education (Week 88). Are you preparing for CSE 2025? Here are questions from GS paper 1 for this week with essential points as the fodder for your answers. Do not miss points to ponder and answer in the comment box below.,Are you preparing for CSE 2025? Here are questions from GS paper 1 for this week with essential points as the fodder for your answers. Do not miss points to ponder and answer in the comment box below.,Are you preparing for CSE 2025? Here are questions from GS paper 1 for this week with essential points as the fodder for your answers. Do not miss points to ponder and answer in the comment box below.
"Mans hilarious rant on Mahakumbhs arrangement viral; says wife disappeared thrice, police brought her back","January 31, 2025 3:56 pm","In the viral video, an old man recounts how his wife got lost three times at the Mahakumbh 2025 but the police successfully found her each time.","Mans hilarious rant on Mahakumbhs arrangement viral; says wife disappeared thrice, police brought her back. In the viral video, an old man recounts how his wife got lost three times at the Mahakumbh 2025 but the police successfully found her each time.","In the viral video, an old man recounts how his wife got lost three times at the Mahakumbh 2025 but the police successfully found her each time.","In the viral video, an old man recounts how his wife got lost three times at the Mahakumbh 2025 but the police successfully found her each. In the video, an old man recounts how his wife got lost three times at the Mahakumbh 2025 but the police successfully found her each."
"Hour before death in stampede, Karnataka woman requested people to avoid visiting Mahakumbh","January 30, 2025 9:27 pm",Revenue Minister Krishna Byre Gowda announced that one individual from Karnataka who visited Mahakumbh could not be traced.,"Hour before death in stampede, Karnataka woman requested people to avoid visiting Mahakumbh. Revenue Minister Krishna Byre Gowda announced that one individual from Karnataka who visited Mahakumbh could not be traced.",Revenue Minister Krishna Byre Gowda announced that one individual from Karnataka who visited Mahakumbh could not be traced.,Revenue Minister Krishna Byre Gowda announced that one individual from Karnataka who visited Mahakumbh could not be traced.
"The day after Mahakumbh stampede: Stepped-up security, cautious devotees and an eerie silence","January 30, 2025 10:44 pm","The day after the stampede, traces of the incident are still visible not only in the increased security detail and police pickets all the way to the ghat but also in the demeanour of the nervous devotees and the uneasy calm there.","The day after Mahakumbh stampede: Stepped-up security, cautious devotees and an eerie silence. The day after the stampede, traces of the incident are still visible not only in the increased security detail and police pickets all the way to the ghat but also in the demeanour of the nervous devotees and the uneasy calm there.","The day after the stampede, traces of the incident are still visible not only in the increased security detail and police pickets all the way to the ghat but also in the demeanour of the nervous devotees and the uneasy calm there.","The day after the stampede, traces of the incident are still visible not only in the increased security detail and police pickets all the way to the ghat but also in the demeanour of the nervous devotees and the uneasy calm there."
Mahakumbh stampede: Judicial panel says will wrap up probe 'as early as possible',"January 31, 2025 3:13 am","Chief Secy, DGP reach Sangam to take stock of preparations for the February 3 Amrit Snan","Mahakumbh stampede: Judicial panel says will wrap up probe 'as early as possible'. Chief Secy, DGP reach Sangam to take stock of preparations for the February 3 Amrit Snan","Chief Secy, DGP reach Sangam to take stock of preparations for the February 3 Amrit Snan","Judicial panel says will wrap up probe 'as early as possible' Chief Secy, DGP reach Sangam to take stock of preparations for the February 3 Amrit Snan"
"Giant fish attacks woman, Delhi man sets stray dogs free, and more: Top 5 viral videos","January 30, 2025 6:40 pm",A look at the top five viral videos of the day.,"Giant fish attacks woman, Delhi man sets stray dogs free, and more: Top 5 viral videos. A look at the top five viral videos of the day.",A look at the top five viral videos of the day.,A look at the top five viral videos of the day.
"Mahakumbh stampede: Causes of such disasters, how they can be prevented","January 31, 2025 1:06 am","Mahakumbh Mela 2025 Stampede News: The NDMA, the apex body on formulating disaster mitigation policies in the country, had in 2014 published a report on crowd management at big events and prevention of stampedes. Here are its key takeaways.","Mahakumbh stampede: Causes of such disasters, how they can be prevented. Mahakumbh Mela 2025 Stampede News: The NDMA, the apex body on formulating disaster mitigation policies in the country, had in 2014 published a report on crowd management at big events and prevention of stampedes. Here are its key takeaways.","Mahakumbh Mela 2025 Stampede News: The NDMA, the apex body on formulating disaster mitigation policies in the country, had in 2014 published a report on crowd management at big events and prevention of stampedes. Here are its key takeaways.","The NDMA, the apex body on formulating disaster mitigation policies in the country, had in 2014 published a report on crowd management at big events and prevention of stampedes. Here are its key takeaways."
"Mahakumbh mela tragedy: Karnataka govt facilitates transportation of deceased Belagavi victims, bodies to be brought today","January 30, 2025 12:42 pm",Revenue Minister Krishna Byre Gowda said IPS officer Hariram Shankar is coordinating the movement of the bodies; 30 people were killed and 60 were injured in Mahakumbh stampede.,"Mahakumbh mela tragedy: Karnataka govt facilitates transportation of deceased Belagavi victims, bodies to be brought today. Revenue Minister Krishna Byre Gowda said IPS officer Hariram Shankar is coordinating the movement of the bodies; 30 people were killed and 60 were injured in Mahakumbh stampede.",Revenue Minister Krishna Byre Gowda said IPS officer Hariram Shankar is coordinating the movement of the bodies; 30 people were killed and 60 were injured in Mahakumbh stampede.,Revenue Minister Krishna Byre Gowda said IPS officer Hariram Shankar is coordinating the movement of the bodies; 30 people were killed and 60 were injured in Mahakumbh stampede.
Why Maharashtra needs to take lessons from Prayagraj ahead of Nashik Kumbh Mela 2027,"January 31, 2025 8:57 am","With the Nashik Kumbh Mela in 2027 expected to draw lakhs of devotees, multiple challenges lie ahead for the administration.","Why Maharashtra needs to take lessons from Prayagraj ahead of Nashik Kumbh Mela 2027. With the Nashik Kumbh Mela in 2027 expected to draw lakhs of devotees, multiple challenges lie ahead for the administration.","With the Nashik Kumbh Mela in 2027 expected to draw lakhs of devotees, multiple challenges lie ahead for the administration.","With the Nashik Kumbh Mela in 2027 expected to draw lakhs of devotees, multiple challenges lie ahead for the administration.  Why Maharashtra needs to take lessons from Prayagraj ahead of Nashik Kumbh Mela 2027."
"Today in Politics: Heat on Yogi, Uttar Pradesh government over Kumbh stampede","January 30, 2025 9:40 am",Akhilesh Yadav suggested that the management and administration of the Kumbh should be handed over to the Army.,"Today in Politics: Heat on Yogi, Uttar Pradesh government over Kumbh stampede. Akhilesh Yadav suggested that the management and administration of the Kumbh should be handed over to the Army.",Akhilesh Yadav suggested that the management and administration of the Kumbh should be handed over to the Army.,"Today in Politics: Heat on Yogi, Uttar Pradesh government over Kumbh stampede. Akhilesh Yadav suggested that the management and administration of the Kumbh should be handed over to the Army."
"30 dead, 60 injured in pre-dawn Maha Kumbh stampede for dip at the Sangam","January 30, 2025 4:53 am","Mahakumbh stampede: Three-member commission of inquiry instituted. Officials blame incident on huge rush, felling of barricades.","30 dead, 60 injured in pre-dawn Maha Kumbh stampede for dip at the Sangam. Mahakumbh stampede: Three-member commission of inquiry instituted. Officials blame incident on huge rush, felling of barricades.","Mahakumbh stampede: Three-member commission of inquiry instituted. Officials blame incident on huge rush, felling of barricades.","Mahakumbh stampede: Three-member commission of inquiry instituted. Officials blame incident on huge rush, felling of barricades. Officials blame incident on huge rush, felling of barricades."
"Kabir Khan visits Mahakumbh Mela, says it's 'not about Hindus and Muslims'; Hema Malini takes holy dip at Triveni Sangam. Watch","January 29, 2025 5:57 pm","Hema Malini visited the Mahakumbh Mela site hours after a tragic ""stampede-like"" incident at the Sangam, which resulted in multiple fatalities.","Kabir Khan visits Mahakumbh Mela, says it's 'not about Hindus and Muslims'; Hema Malini takes holy dip at Triveni Sangam. Watch. Hema Malini visited the Mahakumbh Mela site hours after a tragic ""stampede-like"" incident at the Sangam, which resulted in multiple fatalities.","Hema Malini visited the Mahakumbh Mela site hours after a tragic ""stampede-like"" incident at the Sangam, which resulted in multiple fatalities.","Hema Malini visited the Mahakumbh Mela site hours after a tragic ""stampede-like"" incident at the Sangam, which resulted in multiple fatalities."
"We screamed, we cried, nobody listenedpeople just walked over others': Mahakumbh stampede eyewitnesses recount hours of chaos, panic","January 30, 2025 7:36 am","Mahakumbh: Relatives search for missing, dead during day of grief and panic -- and official silence.","We screamed, we cried, nobody listenedpeople just walked over others': Mahakumbh stampede eyewitnesses recount hours of chaos, panic. Mahakumbh: Relatives search for missing, dead during day of grief and panic -- and official silence.","Mahakumbh: Relatives search for missing, dead during day of grief and panic -- and official silence.","Mahakumbh: Relatives search for missing, dead during day of grief and panic -- and official silence. Mahakumbh: Relatives search for missing, dead during day of grief and panic -- and official silence."
"Mismanagement, VIP culture: Oppn hits out at Centre, UP govt over stampede at Maha Kumbh","January 29, 2025 11:44 am",The stampede situation occurred as hundreds of thousands of devotees gathered for the Amrit Snan on the occasion of Mauni Amavasya.,"Mismanagement, VIP culture: Oppn hits out at Centre, UP govt over stampede at Maha Kumbh. The stampede situation occurred as hundreds of thousands of devotees gathered for the Amrit Snan on the occasion of Mauni Amavasya.",The stampede situation occurred as hundreds of thousands of devotees gathered for the Amrit Snan on the occasion of Mauni Amavasya.,The stampede situation occurred as hundreds of thousands of devotees gathered for the Amrit Snan on the occasion of Mauni Amavasya. The stampede situation occurred as hundreds of thousands of devotees gathered for the Amrit Snan
"GATE, JAM 2025: Exams for those in Prayagraj shifted to Lucknow amid Mahakumbh","January 30, 2025 9:39 am","JAM, GATE 2025: The candidates will have to make sure that the new test centre details appear correctly while downloading the updated GATE admit cards and JAM admit cards.","GATE, JAM 2025: Exams for those in Prayagraj shifted to Lucknow amid Mahakumbh. JAM, GATE 2025: The candidates will have to make sure that the new test centre details appear correctly while downloading the updated GATE admit cards and JAM admit cards.","JAM, GATE 2025: The candidates will have to make sure that the new test centre details appear correctly while downloading the updated GATE admit cards and JAM admit cards.","JAM, GATE 2025: The candidates will have to make sure that the new test centre details appear correctly while downloading the updated GATE admit cards and JAM admit cards. JAM, GATE 2025:"
"PM Modi dials CM Adityanath, urges swift action after stampede situation at Maha Kumbh","January 29, 2025 9:45 am",Local authorities fear multiple casualties after chaotic scenes unfolded amid the enormous crowds gathered for the Mauni Amavasya bath,"PM Modi dials CM Adityanath, urges swift action after stampede situation at Maha Kumbh. Local authorities fear multiple casualties after chaotic scenes unfolded amid the enormous crowds gathered for the Mauni Amavasya bath",Local authorities fear multiple casualties after chaotic scenes unfolded amid the enormous crowds gathered for the Mauni Amavasya bath,Local authorities fear multiple casualties after chaotic scenes unfolded amid the enormous crowds gathered for the Mauni Amavasya bath. Local authorities fear multiple casualties after chaotic scenes unfolded amid the enormous crowds gathered for the Mauni Amavasya bath.
Chaos at Patna railway station as reserved ticket passengers fail to get inside packed Delhi-bound train,"January 28, 2025 4:34 pm","According to Railways, the massive crowd was due to the ongoing Mahakumbh Mela; stranded passengers sent to Prayagraj via 2 special trains.","Chaos at Patna railway station as reserved ticket passengers fail to get inside packed Delhi-bound train. According to Railways, the massive crowd was due to the ongoing Mahakumbh Mela; stranded passengers sent to Prayagraj via 2 special trains.","According to Railways, the massive crowd was due to the ongoing Mahakumbh Mela; stranded passengers sent to Prayagraj via 2 special trains.","stranded passengers sent to Prayagraj via 2 special trains. According to Railways, the massive crowd was due to the ongoing Mahakumbh Mela; stranded passengers sent to Prayagraj via 2 special trains."
"Mahakumbh 2025: Delhi-Prayagraj airfare soar; 'cheaper to take a dip in Thames', say netizens","January 28, 2025 8:22 pm","Where a SpiceJet flight from Delhi to Prayagraj costs Rs 31,606, an Etihad flight to London from Delhi costs Rs 24,093.","Mahakumbh 2025: Delhi-Prayagraj airfare soar; 'cheaper to take a dip in Thames', say netizens. Where a SpiceJet flight from Delhi to Prayagraj costs Rs 31,606, an Etihad flight to London from Delhi costs Rs 24,093.","Where a SpiceJet flight from Delhi to Prayagraj costs Rs 31,606, an Etihad flight to London from Delhi costs Rs 24,093.","Where a SpiceJet flight from Delhi to Prayagraj costs Rs 31,606, an Etihad flight to London from Delhi costs Rs 24,093. Where a SpiceJet flight from Delhi to Prayagraj costs Rs 31,606, an Etihad flight to London from Delhi costs Rs 24,093."
Mahakumbh 2025: All you need to know about Mauni Amavasya,"January 28, 2025 2:30 pm","Mahakumbh Mela 2025: For spiritual peace and mental stability, observing silence on the day of Mauni Amavasya is highly beneficial.","Mahakumbh 2025: All you need to know about Mauni Amavasya. Mahakumbh Mela 2025: For spiritual peace and mental stability, observing silence on the day of Mauni Amavasya is highly beneficial.","Mahakumbh Mela 2025: For spiritual peace and mental stability, observing silence on the day of Mauni Amavasya is highly beneficial.","Observing silence on the day of Mauni Amavasya is highly beneficial. Mahakumbh Mela 2025: For spiritual peace and mental stability, observing silence on the day of Mauni Amavasya is highly beneficial."
Coldplay's Chris Martin to take part in Mahakumbh Mela,"January 27, 2025 7:42 pm","It has been confirmed that Coldplay frontman Chris Martin will participate in this year's Mahakumbh, which takes place every 12 years.","Coldplay's Chris Martin to take part in Mahakumbh Mela. It has been confirmed that Coldplay frontman Chris Martin will participate in this year's Mahakumbh, which takes place every 12 years.","It has been confirmed that Coldplay frontman Chris Martin will participate in this year's Mahakumbh, which takes place every 12 years.","It has been confirmed that Coldplay frontman Chris Martin will participate in this year's Mahakumbh, which takes place every 12 years. The event will take place every 12 years."
Dip in Ganga doesnt fill stomach: Mallikarjun Kharge; BJP seeks Congress apology,"January 28, 2025 3:50 am","His remarks attracted a sharp reaction from the BJP, calling his remarks anti-Sanatan and seeking an apology from Rahul Gandhi and Sonia Gandhi.","Dip in Ganga doesnt fill stomach: Mallikarjun Kharge; BJP seeks Congress apology. His remarks attracted a sharp reaction from the BJP, calling his remarks anti-Sanatan and seeking an apology from Rahul Gandhi and Sonia Gandhi.","His remarks attracted a sharp reaction from the BJP, calling his remarks anti-Sanatan and seeking an apology from Rahul Gandhi and Sonia Gandhi.","BJP seeks an apology from Rahul Gandhi and Sonia Gandhi. His remarks attracted a sharp reaction from the BJP, calling his remarks anti-Sanatan and seeking an apology from Rahul Gandhi and Sonia Gandhi."
"Mahakumbh Diary: Why Kinnar Akhada is drawing engineers, doctors, the young and the old","January 26, 2025 10:29 pm","The Kinnar Akhada at the Mahakumbh in Prayagraj is where the third sex finds acceptance and a collective spirituality, making it a platform for queer rights and a confluence of ideas","Mahakumbh Diary: Why Kinnar Akhada is drawing engineers, doctors, the young and the old. The Kinnar Akhada at the Mahakumbh in Prayagraj is where the third sex finds acceptance and a collective spirituality, making it a platform for queer rights and a confluence of ideas","The Kinnar Akhada at the Mahakumbh in Prayagraj is where the third sex finds acceptance and a collective spirituality, making it a platform for queer rights and a confluence of ideas","The Kinnar Akhada at the Mahakumbh in Prayagraj is where the third sex finds acceptance and a collective spirituality, making it a platform for queer rights"
"Mahakumbh 2025: Actor Mamta Kulkarni becomes 'Mahamandleshwar' of Kinnar Akhara, assumes a new name: 'This was the order of Mahadev, Maha Kaali'","January 25, 2025 4:56 pm",Know all about the significance of being a mahamandleshwar and why it matters,"Mahakumbh 2025: Actor Mamta Kulkarni becomes 'Mahamandleshwar' of Kinnar Akhara, assumes a new name: 'This was the order of Mahadev, Maha Kaali'. Know all about the significance of being a mahamandleshwar and why it matters",Know all about the significance of being a mahamandleshwar and why it matters,"Actor Mamta Kulkarni becomes 'Mahamandleshwar' of Kinnar Akhara, assumes a new name: 'This was the order of Mahadev, Maha Kaali' Know all about the significance of being a mahamandleshwar and why it matters."
JEE Main 2025: Exams for those in Prayagraj shifted to Varanasi amid Mahakumbh,"January 25, 2025 9:44 am",The JEE Main admit cards for all the exam dates are out at jeemain.nta.nic.in. The candidates must make sure that the QR Code and the barcode is available on the JEE admit card while downloading.,JEE Main 2025: Exams for those in Prayagraj shifted to Varanasi amid Mahakumbh. The JEE Main admit cards for all the exam dates are out at jeemain.nta.nic.in. The candidates must make sure that the QR Code and the barcode is available on the JEE admit card while downloading.,The JEE Main admit cards for all the exam dates are out at jeemain.nta.nic.in. The candidates must make sure that the QR Code and the barcode is available on the JEE admit card while downloading.,The JEE Main admit cards for all the exam dates are out at jeemain.nta.nic.in. The candidates must make sure that the QR Code and the barcode is available on the JEE admit card while downloading.
"Travel to Mahakumbh from Chandigarh by bus, pay Rs 1,662","January 23, 2025 4:01 pm",The inaugural service on the Chandigarh-Prayagraj route was flagged off on Thursday,"Travel to Mahakumbh from Chandigarh by bus, pay Rs 1,662. The inaugural service on the Chandigarh-Prayagraj route was flagged off on Thursday",The inaugural service on the Chandigarh-Prayagraj route was flagged off on Thursday,"Travel to Mahakumbh from Chandigarh by bus, pay Rs 1,662. The inaugural service on the Chandigarh-Prayagraj route was flagged off on Thursday"
"Car falling from 2nd floor, men chasing Mona Lisa at Mahakumbh and more: top 5 viral videos","January 22, 2025 6:44 pm",A look at the top five viral videos of the day.,"Car falling from 2nd floor, men chasing Mona Lisa at Mahakumbh and more: top 5 viral videos. A look at the top five viral videos of the day.",A look at the top five viral videos of the day.,A look at the top five viral videos of the day. A look at the top five viral videos of the day. A look at the top five viral videos of the day. A look at the top five viral videos of the day.
"Hillary Clinton's reaction to Trumps Gulf of America plan, 'Harry Potter' at Mahakumbh, and more: Top 5 viral videos","January 21, 2025 6:40 pm",A look at the top five viral videos of the day.,"Hillary Clinton's reaction to Trumps Gulf of America plan, 'Harry Potter' at Mahakumbh, and more: Top 5 viral videos. A look at the top five viral videos of the day.",A look at the top five viral videos of the day.,"'Harry Potter' at Mahakumbh, and more: Top 5 viral videos. A look at the top five viral videos of the day. A look at the top five viral videos of the day."
Mahakumbh an expensive affair for Mumbaikars as air fares to Prayagraj soar,"January 21, 2025 12:58 am","To accommodate the surge in travellers, airlines such as IndiGo, Akasa Air, and SpiceJet have launched daily direct flights to Prayagraj.","Mahakumbh an expensive affair for Mumbaikars as air fares to Prayagraj soar. To accommodate the surge in travellers, airlines such as IndiGo, Akasa Air, and SpiceJet have launched daily direct flights to Prayagraj.","To accommodate the surge in travellers, airlines such as IndiGo, Akasa Air, and SpiceJet have launched daily direct flights to Prayagraj.","Air fares to Prayagraj soar to accommodate the surge in travellers, airlines such as IndiGo, Akasa Air, and SpiceJet have launched daily direct flights to Prayagraj."
Why is Maha Kumbh Mela 2025 special?,"January 21, 2025 10:30 pm","The Maha Kumbh Mela in 2025 is poised to attract an estimated 45 crore devotees from across the globe, making it one of the largest gatherings in human history.","Why is Maha Kumbh Mela 2025 special?. The Maha Kumbh Mela in 2025 is poised to attract an estimated 45 crore devotees from across the globe, making it one of the largest gatherings in human history.","The Maha Kumbh Mela in 2025 is poised to attract an estimated 45 crore devotees from across the globe, making it one of the largest gatherings in human history.","The Maha Kumbh Mela in 2025 is poised to attract an estimated 45 crore devotees from across the globe, making it one of the largest gatherings in human history."
"40 huts, 6 tents gutted in fire at Maha Kumbh, no report of casualty","January 20, 2025 4:14 pm","Uttar Pradesh Chief Minister Yogi Adityanath, who was in Prayagraj on Sunday, visited the affected area and took stock of the situation. Officials said the chief minister briefed Prime Minister Narendra Modi about the incident.","40 huts, 6 tents gutted in fire at Maha Kumbh, no report of casualty. Uttar Pradesh Chief Minister Yogi Adityanath, who was in Prayagraj on Sunday, visited the affected area and took stock of the situation. Officials said the chief minister briefed Prime Minister Narendra Modi about the incident.","Uttar Pradesh Chief Minister Yogi Adityanath, who was in Prayagraj on Sunday, visited the affected area and took stock of the situation. Officials said the chief minister briefed Prime Minister Narendra Modi about the incident.","Uttar Pradesh Chief Minister Yogi Adityanath, who was in Prayagraj on Sunday, visited the affected area and took stock of the situation. Officials said the chief minister briefed Prime Minister Narendra Modi about the incident."
Google celebrates Mahakumbh Mela 2025 with special rose petal shower animation on search page,"January 17, 2025 5:29 pm","The animation can be replayed and shared with others via email, Facebook, X, or WhatsApp.","Google celebrates Mahakumbh Mela 2025 with special rose petal shower animation on search page. The animation can be replayed and shared with others via email, Facebook, X, or WhatsApp.","The animation can be replayed and shared with others via email, Facebook, X, or WhatsApp.","Google celebrates Mahakumbh Mela 2025 with special rose petal shower animation on search page. The animation can be replayed and shared with others via email, Facebook, X, or WhatsApp."
Who is Mahakumbh ki Mona Lisa? Know why the Internet is divided over a garland seller,"January 17, 2025 11:39 am","Mona Lisa, a garland seller who has gone viral from the Mahakumbh Mela 2025, has sparked debates as male influencers turn the sacred event into a social media spectacle.","Who is Mahakumbh ki Mona Lisa? Know why the Internet is divided over a garland seller. Mona Lisa, a garland seller who has gone viral from the Mahakumbh Mela 2025, has sparked debates as male influencers turn the sacred event into a social media spectacle.","Mona Lisa, a garland seller who has gone viral from the Mahakumbh Mela 2025, has sparked debates as male influencers turn the sacred event into a social media spectacle.","Mona Lisa, a garland seller who has gone viral from the Mahakumbh Mela 2025, has sparked debates as male influencers turn the sacred event into a social media spectacle."
Mahakumbh Mela 2025 Live Updates: A celebration of unity BJP distributes Constitution copies to sanitation workers,"January 17, 2025 10:38 pm","Maha Kumbh 2025 Live Updates: Over 7 crore devotees have bathed in the Sangam during the first five days of the Kumbh Mela, with total attendance expected to surpass 50 crore by the festival's end.","Mahakumbh Mela 2025 Live Updates: A celebration of unity BJP distributes Constitution copies to sanitation workers. Maha Kumbh 2025 Live Updates: Over 7 crore devotees have bathed in the Sangam during the first five days of the Kumbh Mela, with total attendance expected to surpass 50 crore by the festival's end.","Maha Kumbh 2025 Live Updates: Over 7 crore devotees have bathed in the Sangam during the first five days of the Kumbh Mela, with total attendance expected to surpass 50 crore by the festival's end.","Over 7 crore devotees have bathed in the Sangam during the first five days of the Kumbh Mela, with total attendance expected to surpass 50 crore by the festival's end."
Film thodi hai: Hope at Kumbh booth for loved ones lost and found,"January 17, 2025 5:18 am","Called the Tower of Hope, the lost and found booth at the Prayagrajs Sangam Ghat has helped reunite over 600 people with their kin as of January 14","Film thodi hai: Hope at Kumbh booth for loved ones lost and found. Called the Tower of Hope, the lost and found booth at the Prayagrajs Sangam Ghat has helped reunite over 600 people with their kin as of January 14","Called the Tower of Hope, the lost and found booth at the Prayagrajs Sangam Ghat has helped reunite over 600 people with their kin as of January 14","Called the Tower of Hope, the lost and found booth at the Prayagrajs Sangam Ghat has helped reunite over 600 people with their kin as of January 14"
19-year-old Steve Jobs' handwritten letter expressing wish to attend Kumbh Mela auctioned for Rs 4.32 crore,"January 18, 2025 5:34 pm","In the letter, postmarked just before his birthday, Jobs shares his fascination with 'Zen Buddhism' and his dream of attending the Kumbh Mela.","19-year-old Steve Jobs' handwritten letter expressing wish to attend Kumbh Mela auctioned for Rs 4.32 crore. In the letter, postmarked just before his birthday, Jobs shares his fascination with 'Zen Buddhism' and his dream of attending the Kumbh Mela.","In the letter, postmarked just before his birthday, Jobs shares his fascination with 'Zen Buddhism' and his dream of attending the Kumbh Mela.","Jobs' handwritten letter expressing wish to attend Kumbh Mela auctioned for Rs 4.32 crore. In the letter, postmarked just before his birthday, Jobs shares his fascination with 'Zen Buddhism' and his dream of attending the Kumbh Mela."
Steve Jobs wife Laurene Powell feels better after Ganga snan following hand allergy at Mahakumbh; expert shares common triggers,"January 15, 2025 3:22 pm",The billionaire businesswoman-philanthropist was given a new name 'Kamala' by her guru Mahamandaleshwar Swami Kailashanand Giri of the Niranjani Akhara.,Steve Jobs wife Laurene Powell feels better after Ganga snan following hand allergy at Mahakumbh; expert shares common triggers. The billionaire businesswoman-philanthropist was given a new name 'Kamala' by her guru Mahamandaleshwar Swami Kailashanand Giri of the Niranjani Akhara.,The billionaire businesswoman-philanthropist was given a new name 'Kamala' by her guru Mahamandaleshwar Swami Kailashanand Giri of the Niranjani Akhara.,The billionaire businesswoman-philanthropist was given a new name 'Kamala' by her guru Mahamandaleshwar Swami Kailashanand Giri of the Niranjani Akhara.
"Mahakumbh Mela 2025 Highlights: On Day 4, lakhs brave biting cold to take holy dip in Sangam; over 6 crore participants till now","January 17, 2025 10:13 am","Maha Kumbh 2025 Highlights: In the first four days of the Kumbh Mela in Prayagraj, over 6 crore devotees have taken a dip in Sangam, participating in the Amrit Snan.","Mahakumbh Mela 2025 Highlights: On Day 4, lakhs brave biting cold to take holy dip in Sangam; over 6 crore participants till now. Maha Kumbh 2025 Highlights: In the first four days of the Kumbh Mela in Prayagraj, over 6 crore devotees have taken a dip in Sangam, participating in the Amrit Snan.","Maha Kumbh 2025 Highlights: In the first four days of the Kumbh Mela in Prayagraj, over 6 crore devotees have taken a dip in Sangam, participating in the Amrit Snan.","Maha Kumbh 2025 Highlights: In the first four days of the Kumbh Mela in Prayagraj, over 6 crore devotees have taken a dip in Sangam, participating in the Amrit Snan."
